"in_data","out_data","Aggregation","Difficulty","Weit","ConnectInGraph","Explanation"
"zenobase","file",3,3,6,"T",NA
"zenobase","web api",3,3,6,"T",NA
"workout","fitnesssyncer",3,3,6,"T",NA
"workout","healthgraph",3,3,6,"T",NA
"workout","sportycloud",3,3,6,"T",NA
"workout","stridekick",3,3,6,"T",NA
"weight goals","bmi",3,3,6,"T",NA
"weight goals","healthkit",3,3,6,"T",NA
"water","samsung health",3,3,6,"T",NA
"validic","web api",3,3,6,"T",NA
"time tracking","flaredown",3,3,6,"T",NA
"text_editor","csv file",3,3,6,"T",NA
"temperature","body temperature",3,3,6,"T",NA
"temperature","near_body_temperature",3,3,6,"T",NA
"temperature","room_temp",3,3,6,"T",NA
"tactio health","file",3,3,6,"T",NA
"stress level","samsung health",3,3,6,"T",NA
"steps","accelerometer",3,3,6,"T",NA
"steps","pedometer",3,3,6,"T",NA
"steps","vitadock",3,3,6,"T",NA
"sleep","accelerometer",3,3,6,"T",NA
"sleep","samsung health",3,3,6,"T",NA
"samsung health","advices",3,3,6,"T",NA
"samsung health","challanges",3,3,6,"T",NA
"samsung health","connected users",3,3,6,"T",NA
"samsung health","fitnesssyncer",3,3,6,"T",NA
"samsung health","reminders/notifications",3,3,6,"T",NA
"samsung health","sdk",3,3,6,"T",NA
"samsung health","web api",3,3,6,"T",NA
"s health","fitnesssyncer",3,3,6,"T",NA
"pulse oximeter","vitadock",3,3,6,"T",NA
"pedometer","samsung health",3,3,6,"T",NA
"oxygen saturation","ppg",3,3,6,"T",NA
"oxygen saturation","samsung health",3,3,6,"T",NA
"open humans","analysis",3,3,6,"T",NA
"open humans","csv file",3,3,6,"T",NA
"nutrition goals","samsung health",3,3,6,"T",NA
"nutrition","fitnescity",3,3,6,"T",NA
"macronutrients","healthkit",3,3,6,"T",NA
"journal_notes","text_editor",4,4,8,"T",NA
"ifttt","file",3,3,6,"T",NA
"ifttt","google drive",3,3,6,"T",NA
"ifttt","web api",3,3,6,"T",NA
"humanapi.co","web api",3,3,6,"T",NA
"heartrate","ekg",3,3,6,"T",NA
"heartrate","samsung health",3,3,6,"T",NA
"heart rate variability","heartrate",3,3,6,"T",NA
"healthvault","file",3,3,6,"T",NA
"healthvault","sdk",3,3,6,"T",NA
"healthvault","web api",3,3,6,"T",NA
"healthkit","file",3,3,6,"T",NA
"healthkit","sdk",3,3,6,"T",NA
"healthkit","web api",3,3,6,"T",NA
"healthgraph","web api",3,3,6,"T",NA
"health records","humanapi.co",3,3,6,"T",NA
"googlefit","csv file",3,3,6,"T",NA
"googlefit","file",3,3,6,"T",NA
"googlefit","google drive",3,3,6,"T",NA
"googlefit","web api",3,3,6,"T",NA
"food","flaredown",3,3,6,"T",NA
"fitnesssyncer","file",3,3,6,"T",NA
"fitnesssyncer","google drive",3,3,6,"T",NA
"fitness goals","samsung health",3,3,6,"T",NA
"fitness goals","weight goals",3,3,6,"T",NA
"excercise","samsung health",3,3,6,"T",NA
"excercise","steps",3,3,6,"T",NA
"excercise","time tracking",3,3,6,"T",NA
"electronic health record","data schema",3,3,6,"T",NA
"electronic health record","health data aggregators",3,3,6,"T",NA
"data schema","data access",3,3,6,"T",NA
"data access","file format",3,3,6,"T",NA
"csv file","open humans",3,3,6,"T",NA
"continuous blood pressure","vitadock",3,3,6,"T",NA
"computer_time","time tracking",3,3,6,"T",NA
"cgm","samsung health",3,3,6,"T",NA
"calories","healthkit",3,3,6,"T",NA
"body weight","samsung health",3,3,6,"T",NA
"body composition","samsung health",3,3,6,"T",NA
"body composition","vitadock",3,3,6,"T",NA
"bmr","healthkit",3,3,6,"T",NA
"bmi","body composition",3,3,6,"T",NA
"bmi","healthkit",3,3,6,"T",NA
"blood pressure","ekg",3,3,6,"T",NA
"blood pressure","ome health",3,3,6,"T",NA
"blood pressure","ppg",3,3,6,"T",NA
"blood pressure","vitadock",3,3,6,"T",NA
"blood glucose","glooko",3,3,6,"T",NA
"activity","healthkit",3,3,6,"T",NA
"activity","humanapi.co",3,3,6,"T",NA
"activity","samsung health",3,3,6,"T",NA
"accelerometer","inertial measurement unit sensor",3,3,6,"T",NA
"googlefit","CSV File",3,4,11,"F","will need ot be kept together[kw]"
"activity","hexoskin",3,3,6,"F","what about without quotes"
"cognitive","quantified_mind",4,2,6,"F","tests from ""formal published papers"
"activity","astroskin",3,3,0,"F","shouldhavebeenremoved[kw]"
"bitesnap","googlefit",3,5,8,"F","jk,jk"
"cognitive","humanbenchmark",3,3,6,"F","fun but not rigorous"
"bowels","mySymptoms",5,3,8,"F","Bristol!"
"air_pressure","mbientlabs",4,3,7,"F","also sound up to 20Hz"
