"in_data","out_data","Aggregation","Difficulty","Weit","ConnectInGraph","Explanation"
"accelerometry","mbientlabs",5,2,7,"F","9dof but fills up memory fast"
"zebra dart tag","api",3,3,6,"F",NA
"Yazio Calorie Counter & Diet Tracker","healthkit",3,3,6,"F",NA
"yazio calorie counter & diet tracker","file",3,3,6,"F",NA
"yazio calorie counter & diet tracker","healthkit",3,3,6,"F",NA
"yazio","healthkit",3,3,6,"F",NA
"xsens mvn","file",3,3,6,"F",NA
"Xiaomi Fit",NA,3,3,6,"F",NA
"Xiaomi Fit",NA,3,3,6,"F",NA
"xiaomi fit","googlefit",3,3,6,"F",NA
"xiaomi fit",NA,3,3,6,"F",NA
"xiaomi fit",NA,3,3,6,"F",NA
"xiaomi fit",NA,3,3,6,"F",NA
"workout","digifit",3,3,6,"F",NA
"workout","Digifit",3,3,6,"F",NA
"workout","Fitnesssyncer",3,3,6,"F",NA
"workout","foodprint diet",3,3,6,"F",NA
"workout","FoodPrint Diet",3,3,6,"F",NA
"workout","Healthgraph",3,3,6,"F",NA
"workout","nutrition tracker biostatus health",3,3,6,"F",NA
"workout","Nutrition Tracker BioStatus Health",3,3,6,"F",NA
"workout","rungap.com",3,3,6,"F",NA
"workout","sparkpeople",3,3,6,"F",NA
"workout","SparkPeople",3,3,6,"F",NA
"workout","SportyCloud",3,3,6,"F",NA
"workout","strava",3,3,6,"F",NA
"workout","Strava",3,3,6,"F",NA
"withings thermo","health mate steps tracker & life coach by withings",3,3,6,"F",NA
"withings thermo","withings",3,3,6,"F",NA
"withings sleep tracking pad","health mate steps tracker & life coach by withings",3,3,6,"F",NA
"withings sleep tracking pad","withings",3,3,6,"F",NA
"withings move ecg","health mate steps tracker & life coach by withings",3,3,6,"F",NA
"withings move ecg","withings",3,3,6,"F",NA
"withings bpm core","health mate steps tracker & life coach by withings",3,3,6,"F",NA
"withings bpm core","withings",3,3,6,"F",NA
"withings blood pressure monitor","blood pressure",3,3,6,"F",NA
"withings blood pressure monitor","health mate steps tracker & life coach by withings",3,3,6,"F",NA
"withings blood pressure monitor","heart rate variability",3,3,6,"F",NA
"withings blood pressure monitor","withings",3,3,6,"F",NA
"withings activit","health mate steps tracker & life coach by withings",3,3,6,"F",NA
"withings activit","withings",3,3,6,"F",NA
"Withings","glooko",3,3,6,"F",NA
"withings","glooko",3,3,6,"F",NA
"withings","google fit",3,3,6,"F",NA
"withings","googlefit",3,3,6,"F",NA
"withings","health mate steps tracker & life coach by withings",3,3,6,"F",NA
"withings","rest api",3,3,6,"F",NA
"wellograph co. ltd.","mapmyfitness",3,3,6,"F",NA
"weightwar clevapps","reminders/notifications",3,3,6,"F",NA
"Weight Watchers Mobile International","healthkit",3,3,6,"F",NA
"weight watchers mobile international","connected users",3,3,6,"F",NA
"weight watchers mobile international","healthkit",3,3,6,"F",NA
"weight watchers mobile international","inspirations",3,3,6,"F",NA
"weight watchers","healthkit",3,3,6,"F",NA
"weight loss & fitness program healthkart","advices",3,3,6,"F",NA
"weight loss & fitness program healthkart","coaching",3,3,6,"F",NA
"weight loss & fitness program healthkart","connected users",3,3,6,"F",NA
"weight loss & fitness program healthkart","fitbit charge 2",3,3,6,"F",NA
"weight loss & fitness program healthkart","googlefit",3,3,6,"F",NA
"weight loss & fitness program healthkart","personal feedback",3,3,6,"F",NA
"weight loss & fitness program healthkart","reminders/notifications",3,3,6,"F",NA
"weight loss & fitness program healthkart","social support",3,3,6,"F",NA
"weight loss & fitness program","googlefit",3,3,6,"F",NA
"weight goals","20/20 lifestyles",3,3,6,"F",NA
"weight goals","advices",3,3,6,"F",NA
"weight goals","calorie counter by fatsecret",3,3,6,"F",NA
"weight goals","calorie counter easyfoodplan.com",3,3,6,"F",NA
"weight goals","calorie counter+ nutratech",3,3,6,"F",NA
"weight goals","calories calculator ebmacs",3,3,6,"F",NA
"weight goals","caloriesmart calorie tracker",3,3,6,"F",NA
"weight goals","careot nutrition tracker",3,3,6,"F",NA
"weight goals","carrot hunger - talking calorie counter",3,3,6,"F",NA
"weight goals","challanges",3,3,6,"F",NA
"weight goals","coaching",3,3,6,"F",NA
"weight goals","connected users",3,3,6,"F",NA
"weight goals","diabetes & diet tracker mynetdiary",3,3,6,"F",NA
"weight goals","diet assistant alberto portela",3,3,6,"F",NA
"weight goals","diet2 go free",3,3,6,"F",NA
"weight goals","dietgenie easy diet plans",3,3,6,"F",NA
"weight goals","edibles world media group",3,3,6,"F",NA
"weight goals","file",3,3,6,"F",NA
"weight goals","fitbit",3,3,6,"F",NA
"weight goals","fitbit charge 2",3,3,6,"F",NA
"weight goals","fitday - free diet and weight loss journal",3,3,6,"F",NA
"weight goals","foodprint diet",3,3,6,"F",NA
"weight goals","googlefit",3,3,6,"F",NA
"weight goals","hapicoach nutrition coaching",3,3,6,"F",NA
"weight goals","healthgraph",3,3,6,"F",NA
"weight goals","healthifyme weight loss coach",3,3,6,"F",NA
"weight goals","hi droid infinity",3,3,6,"F",NA
"weight goals","ifood lite: calorie counter",3,3,6,"F",NA
"weight goals","jawbone up",3,3,6,"F",NA
"weight goals","lose it! fitnow",3,3,6,"F",NA
"weight goals","my diet coach - weight loss inspiredapps",3,3,6,"F",NA
"weight goals","nutrition tracker meuuha apps",3,3,6,"F",NA
"weight goals","nutritionist+ outlier",3,3,6,"F",NA
"weight goals","personal feedback",3,3,6,"F",NA
"weight goals","pic healthy photo food",3,3,6,"F",NA
"weight goals","reminders/notifications",3,3,6,"F",NA
"weight goals","samsung health",3,3,6,"F",NA
"weight goals","smartfoodtracker - food logger",3,3,6,"F",NA
"weight goals","social support",3,3,6,"F",NA
"weight goals","tap & track nanobitsoftware",3,3,6,"F",NA
"weight goals","tomtom mysports",3,3,6,"F",NA
"weight goals","weighfit weightbmi mz development",3,3,6,"F",NA
"weight goals","weight loss & fitness program healthkart",3,3,6,"F",NA
"weight goals","weightwar clevapps",3,3,6,"F",NA
"weight calorie watch baskaran arunasalam","advices",3,3,6,"F",NA
"water log water diet fast builder","challanges",3,3,6,"F",NA
"water log water diet fast builder","reminders/notifications",3,3,6,"F",NA
"water drink reminder northpark.android","googlefit",3,3,6,"F",NA
"water drink reminder northpark.android","reminders/notifications",3,3,6,"F",NA
"water drink reminder northpark.android","s health",3,3,6,"F",NA
"water drink reminder","googlefit",3,3,6,"F",NA
"water drink reminder","samsung health",3,3,6,"F",NA
"water","7 day food journal challenge",3,3,6,"F",NA
"water","all-in fitness by sport.com",3,3,6,"F",NA
"water","argus health & calorie counter",3,3,6,"F",NA
"water","bowelle ibs tracker",3,3,6,"F",NA
"water","calorie counter and diet by calorie count about inc",3,3,6,"F",NA
"water","calorie counter easyfoodplan.com",3,3,6,"F",NA
"water","calorie counter+ nutratech",3,3,6,"F",NA
"water","daily water free maxwell software",3,3,6,"F",NA
"water","diabetes & diet tracker mynetdiary",3,3,6,"F",NA
"water","diet watch stettiner",3,3,6,"F",NA
"water","dietgenie easy diet plans",3,3,6,"F",NA
"water","fitwell fitness health diet",3,3,6,"F",NA
"water","foodprint diet",3,3,6,"F",NA
"water","health & weight loss coach obino",3,3,6,"F",NA
"water","hi droid infinity",3,3,6,"F",NA
"water","hydro coach - drink water",3,3,6,"F",NA
"water","ifood lite: calorie counter",3,3,6,"F",NA
"water","keto low carb venn interactive",3,3,6,"F",NA
"water","lifesum health movement",3,3,6,"F",NA
"water","lose weight with applause 12 labs",3,3,6,"F",NA
"water","mdietguru",3,3,6,"F",NA
"water","mevolife",3,3,6,"F",NA
"water","my daily plate",3,3,6,"F",NA
"water","my diet coach - weight loss inspiredapps",3,3,6,"F",NA
"water","my diet journal harvey g. payne",3,3,6,"F",NA
"water","water drink reminder northpark.android",3,3,6,"F",NA
"water","water log water diet fast builder",3,3,6,"F",NA
"water","weight goals",3,3,6,"F",NA
"water","weight loss & fitness program healthkart",3,3,6,"F",NA
"water","weightwar clevapps",3,3,6,"F",NA
"wahoo tickr","rest api",3,3,6,"F",NA
"vuzix","api",3,3,6,"F",NA
"uv sensor","microsoft band",3,3,6,"F",NA
"uv sensor","opter pose pendant",3,3,6,"F",NA
"uv sensor","pico brilliant",3,3,6,"F",NA
"uv sensor","qsun uv exposure",3,3,6,"F",NA
"up smart coach for health","diabetes & diet tracker mynetdiary",3,3,6,"F",NA
"up smart coach for health","fitnesssyncer",3,3,6,"F",NA
"up smart coach for health","foodprint diet",3,3,6,"F",NA
"up smart coach for health","healthgraph",3,3,6,"F",NA
"up smart coach for health","healthkit",3,3,6,"F",NA
"up smart coach for health","humanapi.co",3,3,6,"F",NA
"up smart coach for health","ifttt",3,3,6,"F",NA
"up smart coach for health","lifesum health movement",3,3,6,"F",NA
"up smart coach for health","lose it! fitnow",3,3,6,"F",NA
"up smart coach for health","myfitnesspal",3,3,6,"F",NA
"up smart coach for health","nudge health tracking",3,3,6,"F",NA
"up smart coach for health","pic healthy photo food",3,3,6,"F",NA
"up smart coach for health","poundaweek - calorie counter",3,3,6,"F",NA
"up smart coach for health","samsung health",3,3,6,"F",NA
"up smart coach for health","sparkpeople",3,3,6,"F",NA
"up smart coach for health","tactio health",3,3,6,"F",NA
"up smart coach for health","ultimate food value diary",3,3,6,"F",NA
"up smart coach for health","validic",3,3,6,"F",NA
"up smart coach for health","zenobase",3,3,6,"F",NA
"ultraviolet","Netatmo",3,3,6,"F",NA
"ultimate food value diary plus - diet & weight tracker","googlefit",3,3,6,"F",NA
"ultimate food value diary plus - diet & weight tracker","healthkit",3,3,6,"F",NA
"Ultimate Food Value Diary","healthkit",3,3,6,"F",NA
"ultimate food value diary","allowance badge",3,3,6,"F",NA
"ultimate food value diary","file",3,3,6,"F",NA
"ultimate food value diary","fitbit charge 2",3,3,6,"F",NA
"ultimate food value diary","googlefit",3,3,6,"F",NA
"ultimate food value diary","healthkit",3,3,6,"F",NA
"ultimate food value diary","reminders/notifications",3,3,6,"F",NA
"ultimate food value diary","social support",3,3,6,"F",NA
"ultimate food value diary","up24",3,3,6,"F",NA
"ua healthbox","googlefit",3,3,6,"F",NA
"ua healthbox","healthkit",3,3,6,"F",NA
"ua healthbox","myfitnesspal",3,3,6,"F",NA
"ua healthbox","poundaweek - calorie counter",3,3,6,"F",NA
"trainer labs workout & nutrition","coaching",3,3,6,"F",NA
"trainer labs workout & nutrition","connected users",3,3,6,"F",NA
"tomtom mysports","fitnesssyncer",3,3,6,"F",NA
"tomtom mysports","rest api",3,3,6,"F",NA
"tomtom mysports","validic",3,3,6,"F",NA
"time_tracking","mySymptoms",4,2,6,"F",NA
"time_tracking","smartertime",3,3,6,"F",NA
"time tracking","mysymptoms",3,3,6,"F",NA
"time tracking","smartertime",3,3,6,"F",NA
"time tracking","taplog",3,3,6,"F",NA
"time tracking","TapLog",3,3,6,"F",NA
"text_editor","CSV File",5,4,9,"F",NA
"temperature sensor","empatica",3,3,6,"F",NA
"temperature sensor","hexoskin",3,3,6,"F",NA
"temperature sensor","neuroon",3,3,6,"F",NA
"temperature sensor","o-synce",3,3,6,"F",NA
"temperature sensor","qmedic",3,3,6,"F",NA
"temperature sensor","sensecore",3,3,6,"F",NA
"temperature sensor","siren.care",3,3,6,"F",NA
"temperature sensor","vancive medical technologies",3,3,6,"F",NA
"temperature sensor","whoop strap",3,3,6,"F",NA
"temperature","amiigo",3,3,6,"F",NA
"temperature","empatica",3,3,6,"F",NA
"temperature","illume health sauna tracker",3,3,6,"F",NA
"temperature","intel basis peak",3,3,6,"F",NA
"temperature","netatmo",3,3,6,"F",NA
"temperature","neuroon",3,3,6,"F",NA
"temperature","pico brilliant",3,3,6,"F",NA
"temperature","qardiocore",3,3,6,"F",NA
"temperature","siren.care",3,3,6,"F",NA
"temperature","spree wearables",3,3,6,"F",NA
"temperature","whoop strap",3,3,6,"F",NA
"temperature","wisewear",3,3,6,"F",NA
"temperature","withings thermo",3,3,6,"F",NA
"telemedicine","medhelp",3,3,6,"F",NA
"telemedicine","MedHelp",3,3,6,"F",NA
"tdee","calories calculator ebmacs",3,3,6,"F",NA
"tap & track nanobitsoftware","file",3,3,6,"F",NA
"tandem diabetes care","tidepool",3,3,6,"F",NA
"tag heuer connected","api",3,3,6,"F",NA
"tag heuer connected","google fit",3,3,6,"F",NA
"tag heuer connected","rest api",3,3,6,"F",NA
"symptoms","21 day tummy tracker",3,3,6,"F",NA
"symptoms","21 Day Tummy Tracker",3,3,6,"F",NA
"symptoms","bowelle ibs tracker",3,3,6,"F",NA
"symptoms","Bowelle IBS tracker",3,3,6,"F",NA
"symptoms","diabetes & diet tracker mynetdiary",3,3,6,"F",NA
"symptoms","Diabetes & Diet Tracker MyNetDiary",3,3,6,"F",NA
"symptoms","eventloggers",3,3,6,"F",NA
"symptoms","EventLoggers",3,3,6,"F",NA
"symptoms","fodmap monash university",3,3,6,"F",NA
"symptoms","FODMAP Monash University",3,3,6,"F",NA
"symptoms","food allergyfree",3,3,6,"F",NA
"symptoms","Food AllergyFree",3,3,6,"F",NA
"symptoms","food and symptoms diary nmi-portal / panthera.cc",3,3,6,"F",NA
"symptoms","Food and Symptoms Diary nmi-Portal / panthera.cc",3,3,6,"F",NA
"symptoms","food diary geoff holden",3,3,6,"F",NA
"symptoms","Food Diary Geoff Holden",3,3,6,"F",NA
"symptoms","food symptoms & allergy diary max und otto",3,3,6,"F",NA
"symptoms","Food Symptoms & Allergy Diary Max und Otto",3,3,6,"F",NA
"symptoms","healthwatch 360",3,3,6,"F",NA
"symptoms","HealthWatch 360",3,3,6,"F",NA
"symptoms","intolerance food diary alder agarik",3,3,6,"F",NA
"symptoms","Intolerance Food Diary Alder Agarik",3,3,6,"F",NA
"symptoms","mdietguru",3,3,6,"F",NA
"symptoms","mDietGuru",3,3,6,"F",NA
"symptoms","mysymptoms",3,3,6,"F",NA
"symptoms","mySymptoms",5,5,10,"F",NA
"suunto","api",3,3,6,"F",NA
"suunto","rest api",3,3,6,"F",NA
"suunto","strava",3,3,6,"F",NA
"striiv activity tracker","humanapi.co",3,3,6,"F",NA
"striiv activity tracker","validic",3,3,6,"F",NA
"stress level","bowelle ibs tracker",3,3,6,"F",NA
"stress level","foodprint diet",3,3,6,"F",NA
"stress level","healthwatch 360",3,3,6,"F",NA
"stress level","mysymptoms",3,3,6,"F",NA
"steps","20/20 lifestyles",3,3,6,"F",NA
"steps","20/20 LifeStyles",3,3,6,"F",NA
"steps","Accelerometer",3,3,6,"F",NA
"steps","accelerometry",5,1,6,"F",NA
"steps","activ8rlives health monitoring and food diary app",3,3,6,"F",NA
"steps","Activ8rlives Health Monitoring and Food Diary App",3,3,6,"F",NA
"steps","apple watch",3,3,6,"F",NA
"steps","Apple Watch",3,3,6,"F",NA
"steps","argus health & calorie counter",3,3,6,"F",NA
"steps","Argus Health & Calorie Counter",3,3,6,"F",NA
"steps","calorie counter+ nutratech",3,3,6,"F",NA
"steps","Calorie Counter+ NutraTech",3,3,6,"F",NA
"steps","carepredict tempo",3,3,6,"F",NA
"steps","Carepredict Tempo",3,3,6,"F",NA
"steps","diabetes & diet tracker mynetdiary",3,3,6,"F",NA
"steps","Diabetes & Diet Tracker MyNetDiary",3,3,6,"F",NA
"steps","empatica",3,3,6,"F",NA
"steps","Empatica",3,3,6,"F",NA
"steps","excersis",3,3,6,"F",NA
"steps","fitbit",3,3,6,"F",NA
"steps","Fitbit",3,3,6,"F",NA
"steps","fitbug orb",3,3,6,"F",NA
"steps","Fitbug Orb",3,3,6,"F",NA
"steps","fitwell fitness health diet",3,3,6,"F",NA
"steps","FitWell Fitness Health Diet",3,3,6,"F",NA
"steps","floka",3,3,6,"F",NA
"steps","Floka",3,3,6,"F",NA
"steps","garmin approach",3,3,6,"F",NA
"steps","Garmin Approach",3,3,6,"F",NA
"steps","hapicoach nutrition coaching",3,3,6,"F",NA
"steps","HAPIcoach Nutrition Coaching",3,3,6,"F",NA
"steps","healbe",3,3,6,"F",NA
"steps","Healbe",3,3,6,"F",NA
"steps","health & weight loss coach obino",3,3,6,"F",NA
"steps","Health & Weight Loss Coach Obino",3,3,6,"F",NA
"steps","health mate steps tracker & life coach by withings",3,3,6,"F",NA
"steps","healthy 365 health promotion board",3,3,6,"F",NA
"steps","Healthy 365 Health Promotion Board",3,3,6,"F",NA
"steps","hexoskin",3,3,6,"F",NA
"steps","hi droid infinity",3,3,6,"F",NA
"steps","HI DROID INFINITY",3,3,6,"F",NA
"steps","huawei talkband",3,3,6,"F",NA
"steps","Huawei TalkBand",3,3,6,"F",NA
"steps","ifit technologies",3,3,6,"F",NA
"steps","iFit technologies",3,3,6,"F",NA
"steps","ihealth",3,3,6,"F",NA
"steps","iHealth",3,3,6,"F",NA
"steps","intel basis peak",3,3,6,"F",NA
"steps","Intel Basis Peak",3,3,6,"F",NA
"steps","ironman move x20",3,3,6,"F",NA
"steps","Ironman Move x20",3,3,6,"F",NA
"steps","jawbone up",3,3,6,"F",NA
"steps","Jawbone UP",3,3,6,"F",NA
"steps","lechal shoe",3,3,6,"F",NA
"steps","Lechal Shoe",3,3,6,"F",NA
"steps","leikr gps sport watch",3,3,6,"F",NA
"steps","Leikr GPS Sport Watch",3,3,6,"F",NA
"steps","lg gizmopal vc100",3,3,6,"F",NA
"steps","LG Gizmopal VC100",3,3,6,"F",NA
"steps","lose it! fitnow",3,3,6,"F",NA
"steps","Lose It! Fitnow",3,3,6,"F",NA
"steps","lose weight with applause 12 labs",3,3,6,"F",NA
"steps","Lose weight with Applause 12 Labs",3,3,6,"F",NA
"steps","mdietguru",3,3,6,"F",NA
"steps","mDietGuru",3,3,6,"F",NA
"steps","miband3",3,5,8,"F",NA
"steps","microsoft band",3,3,6,"F",NA
"steps","Microsoft Band",3,3,6,"F",NA
"steps","misfit",3,3,6,"F",NA
"steps","Misfit",3,3,6,"F",NA
"steps","moov personal coach",3,3,6,"F",NA
"steps","Moov Personal Coach",3,3,6,"F",NA
"steps","motiv ring",3,3,6,"F",NA
"steps","Motiv Ring",3,3,6,"F",NA
"steps","myfitnesspal",3,3,6,"F",NA
"steps","MyFitnessPal",3,3,6,"F",NA
"steps","mykronoz zefit",3,3,6,"F",NA
"steps","MyKronoz ZeFit",3,3,6,"F",NA
"steps","nevo watch",3,3,6,"F",NA
"steps","Nevo watch",3,3,6,"F",NA
"steps","nike fuelband",3,3,6,"F",NA
"steps","Nike FuelBand",3,3,6,"F",NA
"steps","noom coach health & weight",3,3,6,"F",NA
"steps","Noom Coach Health & Weight",3,3,6,"F",NA
"steps","o-synce",3,3,6,"F",NA
"steps","O-Synce",3,3,6,"F",NA
"steps","omsignal",3,3,6,"F",NA
"steps","OMsignal",3,3,6,"F",NA
"steps","oura",3,3,6,"F",NA
"steps","Oura",3,3,6,"F",NA
"steps","pebble watch",3,3,6,"F",NA
"steps","Pebble watch",3,3,6,"F",NA
"steps","pedometer & weight loss coach pacer health",3,3,6,"F",NA
"steps","Pedometer & Weight Loss Coach Pacer Health",3,3,6,"F",NA
"steps","pivotal living life1",3,3,6,"F",NA
"steps","Pivotal Living Life1",3,3,6,"F",NA
"steps","polar smartwatch",3,3,6,"F",NA
"steps","Polar smartwatch",3,3,6,"F",NA
"steps","recon jet",3,3,6,"F",NA
"steps","Recon Jet",3,3,6,"F",NA
"steps","samsung gear",3,3,6,"F",NA
"steps","Samsung Gear",3,3,6,"F",NA
"steps","scribe labs",3,3,6,"F",NA
"steps","Scribe Labs",3,3,6,"F",NA
"steps","sensecore",3,3,6,"F",NA
"steps","SenseCore",3,3,6,"F",NA
"steps","sony smartwatch",3,3,6,"F",NA
"steps","Sony Smartwatch",3,3,6,"F",NA
"steps","spire.io",3,3,6,"F",NA
"steps","spree wearables",3,3,6,"F",NA
"steps","Spree Wearables",3,3,6,"F",NA
"steps","striiv activity tracker",3,3,6,"F",NA
"steps","Striiv Activity Tracker",3,3,6,"F",NA
"steps","suunto",3,3,6,"F",NA
"steps","Suunto",3,3,6,"F",NA
"steps","tomtom mysports",3,3,6,"F",NA
"steps","TomTom MySports",3,3,6,"F",NA
"steps","wahoo tickr",3,3,6,"F",NA
"steps","Wahoo Tickr",3,3,6,"F",NA
"steps","wearit smartwatch",3,3,6,"F",NA
"steps","Wearit Smartwatch",3,3,6,"F",NA
"steps","weight goals",3,3,6,"F",NA
"steps","wellograph co. ltd.",3,3,6,"F",NA
"steps","Wellograph Co. Ltd.",3,3,6,"F",NA
"steps","whoop strap",3,3,6,"F",NA
"steps","WHOOP Strap",3,3,6,"F",NA
"steps","wisewear",3,3,6,"F",NA
"steps","Wisewear",3,3,6,"F",NA
"steps","withings activit",3,3,6,"F",NA
"steps","Withings Activit",3,3,6,"F",NA
"steps","withings move ecg",3,3,6,"F",NA
"steps","Withings Move ECG",3,3,6,"F",NA
"steps","zeblaze classic",3,3,6,"F",NA
"steps","Zeblaze Classic",3,3,6,"F",NA
"steps","zikto walk",3,3,6,"F",NA
"steps","Zikto Walk",3,3,6,"F",NA
"spirometer","contec",3,3,6,"F",NA
"spire.io","rest api",3,3,6,"F",NA
"sphygmomanometer","contec",3,3,6,"F",NA
"sparkpeople","advices",3,3,6,"F",NA
"sparkpeople","coaching",3,3,6,"F",NA
"sparkpeople","file",3,3,6,"F",NA
"sparkpeople","fitbit charge 2",3,3,6,"F",NA
"sparkpeople","social support",3,3,6,"F",NA
"sparkpeople","up24",3,3,6,"F",NA
"sony smartwatch","api",3,3,6,"F",NA
"sony smartwatch","google fit",3,3,6,"F",NA
"sony smartwatch","rest api",3,3,6,"F",NA
"snoring","beddit sleep monitor 3.5",3,3,6,"F",NA
"snoring","Beddit Sleep Monitor 3.5",3,3,6,"F",NA
"snoring","eversleep 2 personal sleep monitor",3,3,6,"F",NA
"snoring","EverSleep 2 Personal Sleep Monitor",3,3,6,"F",NA
"snoring","withings sleep",3,3,6,"F",NA
"snoring","withings sleep tracking pad",3,3,6,"F",NA
"snoring","Withings Sleep Tracking Pad",3,3,6,"F",NA
"snoring","zeeq smart pillow",3,3,6,"F",NA
"snoring","Zeeq Smart Pillow",3,3,6,"F",NA
"smartertime","csv file",3,3,6,"F",NA
"smartertime","CSV File",3,3,6,"F",NA
"smart thermometer","activ8rlives health monitoring and food diary app",3,3,6,"F",NA
"smart body scale","fitbit",3,3,6,"F",NA
"smart body scale","hapicoach nutrition coaching",3,3,6,"F",NA
"smart body scale","health mate steps tracker & life coach by withings",3,3,6,"F",NA
"smart body scale","qardio",3,3,6,"F",NA
"smart body scale","record by under armour healthbox",3,3,6,"F",NA
"smart body scale","withings",3,3,6,"F",NA
"slow-carb diet parsida ab","faceook",3,3,6,"F",NA
"slow-carb diet parsida ab","reminders/notifications",3,3,6,"F",NA
"sleep rem","healbe",3,3,6,"F",NA
"sleep cycles","ava fertility2.0",3,3,6,"F",NA
"sleep cycles","beautyrest sleep tracker",3,3,6,"F",NA
"sleep cycles","beddit sleep monitor 3.5",3,3,6,"F",NA
"sleep cycles","dreem headband",3,3,6,"F",NA
"sleep cycles","eversleep 2 personal sleep monitor",3,3,6,"F",NA
"sleep cycles","fitbit",3,3,6,"F",NA
"sleep cycles","go2sleep ring",3,3,6,"F",NA
"sleep cycles","kokoon headphones",3,3,6,"F",NA
